,rec_class,gprot,with,wo,file_with,file_wo
0,Class A (Rhodopsin),Gi/Go,142,144,Class_A_(Rhodopsin)_Gi_Go_with.p,Class_A_(Rhodopsin)_Gi_Go_wo.p
1,Class A (Rhodopsin),Gq/G11,106,180,Class_A_(Rhodopsin)_Gq_G11_with.p,Class_A_(Rhodopsin)_Gq_G11_wo.p
2,Class A (Rhodopsin),Gs,64,222,Class_A_(Rhodopsin)_Gs_with.p,Class_A_(Rhodopsin)_Gs_wo.p
3,Class A (Rhodopsin),G12/G13,20,266,Class_A_(Rhodopsin)_G12_G13_with.p,Class_A_(Rhodopsin)_G12_G13_wo.p
4,Class B1 (Secretin),Gi/Go,1,14,Class_B1_(Secretin)_Gi_Go_with.p,Class_B1_(Secretin)_Gi_Go_wo.p
5,Class B1 (Secretin),Gq/G11,6,9,Class_B1_(Secretin)_Gq_G11_with.p,Class_B1_(Secretin)_Gq_G11_wo.p
6,Class B1 (Secretin),Gs,11,4,Class_B1_(Secretin)_Gs_with.p,Class_B1_(Secretin)_Gs_wo.p
7,Class B1 (Secretin),G12/G13,0,15,Class_B1_(Secretin)_G12_G13_with.p,Class_B1_(Secretin)_G12_G13_wo.p
8,Class B2 (Adhesion),Gi/Go,1,32,Class_B2_(Adhesion)_Gi_Go_with.p,Class_B2_(Adhesion)_Gi_Go_wo.p
9,Class B2 (Adhesion),Gq/G11,4,29,Class_B2_(Adhesion)_Gq_G11_with.p,Class_B2_(Adhesion)_Gq_G11_wo.p
10,Class B2 (Adhesion),Gs,1,32,Class_B2_(Adhesion)_Gs_with.p,Class_B2_(Adhesion)_Gs_wo.p
11,Class B2 (Adhesion),G12/G13,2,31,Class_B2_(Adhesion)_G12_G13_with.p,Class_B2_(Adhesion)_G12_G13_wo.p
12,Class C (Glutamate),Gi/Go,9,13,Class_C_(Glutamate)_Gi_Go_with.p,Class_C_(Glutamate)_Gi_Go_wo.p
13,Class C (Glutamate),Gq/G11,4,18,Class_C_(Glutamate)_Gq_G11_with.p,Class_C_(Glutamate)_Gq_G11_wo.p
14,Class C (Glutamate),Gs,2,20,Class_C_(Glutamate)_Gs_with.p,Class_C_(Glutamate)_Gs_wo.p
15,Class C (Glutamate),G12/G13,1,21,Class_C_(Glutamate)_G12_G13_with.p,Class_C_(Glutamate)_G12_G13_wo.p
16,Class F (Frizzled),Gi/Go,6,5,Class_F_(Frizzled)_Gi_Go_with.p,Class_F_(Frizzled)_Gi_Go_wo.p
17,Class F (Frizzled),Gq/G11,2,9,Class_F_(Frizzled)_Gq_G11_with.p,Class_F_(Frizzled)_Gq_G11_wo.p
18,Class F (Frizzled),Gs,2,9,Class_F_(Frizzled)_Gs_with.p,Class_F_(Frizzled)_Gs_wo.p
19,Class F (Frizzled),G12/G13,3,8,Class_F_(Frizzled)_G12_G13_with.p,Class_F_(Frizzled)_G12_G13_wo.p
20,Taste 2,Gi/Go,0,25,Taste_2_Gi_Go_with.p,Taste_2_Gi_Go_wo.p
21,Taste 2,Gq/G11,0,25,Taste_2_Gq_G11_with.p,Taste_2_Gq_G11_wo.p
22,Taste 2,Gs,0,25,Taste_2_Gs_with.p,Taste_2_Gs_wo.p
23,Taste 2,G12/G13,0,25,Taste_2_G12_G13_with.p,Taste_2_G12_G13_wo.p
24,Other GPCRs,Gi/Go,0,6,Other_GPCRs_Gi_Go_with.p,Other_GPCRs_Gi_Go_wo.p
25,Other GPCRs,Gq/G11,0,6,Other_GPCRs_Gq_G11_with.p,Other_GPCRs_Gq_G11_wo.p
26,Other GPCRs,Gs,0,6,Other_GPCRs_Gs_with.p,Other_GPCRs_Gs_wo.p
27,Other GPCRs,G12/G13,0,6,Other_GPCRs_G12_G13_with.p,Other_GPCRs_G12_G13_wo.p
