name,red,black,green,blue
5HT1A,0,1,0,0
5HT1B,0,1,0,0
5HT1D,0,1,0,0
5HT1E,0,1,0,0
5HT1F,0,1,0,0
5HT2A,0,1,1,0
5HT2B,0,0,1,0
5HT2C,0,1,1,0
5HT4R,1,0,0,1
5HT5A,0,1,1,0
5HT6R,1,0,1,0
5HT7R,1,0,0,0
ACM1,0,0,1,0
ACM2,1,1,1,0
ACM3,0,0,1,0
ACM4,0,1,0,0
ACM5,0,0,1,0
AA1R,1,1,1,0
AA2AR,1,0,1,0
AA2BR,1,0,1,0
AA3R,0,1,0,0
ADA1A,0,0,1,1
ADA1B,0,0,1,0
ADA1D,0,0,1,0
ADA2A,1,1,0,0
ADA2B,1,1,0,0
ADA2C,1,1,0,0
ADRB1,1,1,0,0
ADRB2,1,1,0,0
ADRB3,1,1,0,0
C3AR,0,0,0,0
C5AR1,0,1,1,0
C5AR2,0,0,0,0
AGTR1,0,1,1,0
AGTR2,0,1,0,0
APJ,0,1,0,0
GPBAR,1,0,0,0
NMBR,0,0,1,0
GRPR,0,0,1,0
BRS3,0,0,1,0
BKRB1,0,1,1,0
BKRB2,1,1,1,0
CNR1,1,1,0,0
CNR2,1,1,0,0
CCR1,0,1,0,0
CCR2,0,1,0,0
CCR3,0,1,0,0
CCR4,0,1,0,0
CCR5,0,1,0,0
CCR6,0,1,0,0
CCR7,0,1,0,0
CCR8,0,1,0,0
CCR9,0,1,0,0
CCR10,0,1,0,0
CXCR1,0,1,1,0
CXCR2,0,1,0,0
CXCR3,0,1,0,0
CXCR4,0,1,0,0
CXCR5,0,1,0,0
CXCR6,0,1,0,0
CX3C1,0,1,0,0
XCR1,0,1,0,0
CCKAR,1,0,1,0
GASR,0,0,1,0
CCRL2,0,0,0,0
CML1,0,1,0,0
ACKR3,0,0,0,0
GP183,0,1,0,0
GPR1,0,0,0,0
GPR3,1,0,0,0
GPR4,1,1,1,1
GPR6,1,1,0,0
GPR12,1,1,0,0
GPR15,0,0,0,0
GPR17,0,1,1,0
GPR18,0,1,1,0
GPR19,0,0,0,0
GPR20,0,1,0,0
GPR21,0,0,1,0
GPR22,0,1,0,0
LPAR4,1,1,1,1
GPR25,0,0,0,0
GPR26,1,0,0,0
GPR27,0,0,1,0
GPR31,0,1,0,0
GPR32,0,0,0,0
GPR33,0,1,0,0
GPR34,0,1,0,0
GPR35,0,0,0,0
GPR37,0,1,0,0
ETBR2,0,1,0,0
GPR39,1,0,1,1
GPR45,0,0,0,0
MTR1L,0,0,0,0
GPR52,0,0,0,0
GPR55,0,0,1,1
GPR61,1,0,0,0
GPR62,0,0,0,0
GPR63,0,0,0,0
PSYR,1,0,0,0
OGR1,0,1,1,0
GPR75,0,0,1,0
GPR78,1,0,0,0
GPR82,0,0,0,0
GPR83,0,0,0,0
GPR84,0,1,0,0
GPR85,0,0,0,0
GPR87,0,0,0,0
GPR88,0,0,0,0
LPAR5,0,0,1,1
GP101,1,0,0,0
GP119,1,0,0,0
FFAR4,0,0,1,0
GP132,1,0,0,0
GP135,0,0,0,0
GP139,0,0,1,0
GP141,0,0,0,0
GP142,0,0,0,0
GP146,0,0,0,0
GP148,0,0,0,0
GP149,0,0,0,0
GP150,0,0,0,0
GP151,0,0,0,0
GP152,0,0,0,0
GP153,0,0,0,0
GP160,0,0,0,0
GP161,0,0,0,0
GP162,0,0,0,0
GP171,0,0,0,0
GP173,0,0,0,0
GP174,0,0,0,0
GP182,0,0,0,0
LGR4,0,0,0,0
LGR5,0,0,0,0
LGR6,0,0,0,0
MAS,0,1,1,0
MAS1L,0,0,0,0
MRGRD,0,1,1,0
MRGRE,0,0,0,0
MRGRF,0,0,0,0
MRGRG,0,0,0,0
MRGX1,0,0,1,0
MRGX2,0,1,1,0
MRGX3,0,0,1,0
MRGX4,0,0,1,0
OPN3,0,0,0,0
OPN5,0,1,0,0
OXGR1,0,0,1,0
LPAR6,1,1,0,1
P2RY8,0,0,0,0
P2Y10,0,0,0,0
SUCR1,0,1,1,0
DRD1,1,0,0,0
DRD2,0,1,0,0
DRD3,0,1,0,0
DRD4,0,1,0,0
DRD5,1,0,0,0
EDNRA,0,0,1,0
EDNRB,1,1,1,0
GPER1,1,1,0,0
FPR1,0,1,0,0
FPR2,0,1,1,0
FPR3,0,1,0,0
FFAR1,1,1,1,0
FFAR2,0,1,1,0
FFAR3,0,1,0,0
GPR42,0,0,0,0
GALR1,0,1,0,0
GALR2,0,1,1,1
GALR3,0,1,0,0
GHSR,0,1,1,1
FSHR,1,0,0,0
LSHR,1,0,1,0
TSHR,1,0,1,0
GNRHR,0,1,1,0
GNRR2,0,0,0,0
HRH1,0,0,1,0
HRH2,1,0,1,0
HRH3,0,1,0,0
HRH4,0,1,0,0
KISSR,0,0,1,0
LT4R1,0,1,1,0
LT4R2,0,1,1,0
CLTR1,0,1,1,0
CLTR2,0,1,1,0
OXER1,0,1,0,0
LPAR1,0,1,1,1
LPAR2,0,1,1,1
LPAR3,0,1,1,0
S1PR1,0,1,0,0
S1PR2,1,0,1,1
S1PR3,0,1,1,1
S1PR4,0,1,0,1
S1PR5,0,1,0,1
MCHR1,1,1,1,0
MCHR2,0,0,1,0
MSHR,1,0,0,0
ACTHR,1,0,0,0
MC3R,1,0,0,0
MC4R,1,0,0,0
MC5R,1,0,0,0
MTR1A,0,1,1,0
MTR1B,0,1,0,0
MTLR,0,0,1,1
NMUR1,0,0,1,0
NMUR2,0,0,1,0
NPFF1,0,1,0,0
NPFF2,0,1,0,0
NPSR1,1,0,1,0
NPBW1,0,1,0,0
NPBW2,0,1,0,0
NPY1R,0,1,0,0
NPY2R,0,1,1,0
NPY4R,0,1,1,0
NPY5R,0,1,0,0
NTR1,1,1,1,0
NTR2,0,0,1,0
HCAR1,0,1,0,0
HCAR2,0,1,0,0
HCAR3,0,1,0,0
ACKR2,0,0,0,0
ACKR4,0,0,0,0
ACKR1,0,0,0,0
OPRD,0,1,0,0
OPRK,0,1,0,1
OPRM,0,1,1,0
OPRX,0,1,0,0
OX1R,1,1,1,0
OX2R,1,1,1,0
P2RY1,0,1,1,0
P2RY2,0,1,1,1
P2RY4,0,0,1,0
P2RY6,0,0,1,1
P2Y11,1,0,1,0
P2Y12,0,1,0,0
P2Y13,0,1,0,0
P2Y14,0,1,0,0
QRFPR,0,1,1,0
PTAFR,0,1,1,0
PKR1,1,0,1,0
PKR2,1,1,1,0
PRLHR,0,0,1,0
PD2R,1,0,0,0
PD2R2,0,1,0,0
PE2R1,0,1,1,0
PE2R2,1,0,0,0
PE2R3,0,1,1,0
PE2R4,1,1,0,0
PF2R,1,0,1,0
PI2R,1,1,1,0
TA2R,0,0,1,0
PAR1,0,1,1,1
PAR2,0,1,1,0
PAR3,0,0,0,0
PAR4,0,1,1,0
RXFP1,1,1,0,0
RXFP2,1,1,0,0
RL3R1,0,1,0,0
RL3R2,0,1,0,0
SSR1,0,1,0,0
SSR2,0,1,1,0
SSR3,0,1,1,0
SSR4,0,1,0,0
SSR5,0,1,1,0
NK1R,1,0,1,0
NK2R,1,0,1,0
NK3R,0,0,1,0
TRFR,0,0,1,0
TAAR1,1,0,1,0
UR2R,0,0,1,0
V1AR,0,0,1,0
V1BR,0,0,1,0
V2R,1,0,0,0
OXYR,0,1,1,0
GP176,0,0,0,0
NPY6R,0,1,0,0
OPN4,0,1,1,0
