class1,receptor1_name_short,receptor1_name,receptor1_entry_name,class2,receptor2_name_short,receptor2_name,receptor2_entry_name,identity,similarity
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),5-HT<sub>1B</sub>,5-HT<sub>1B</sub> receptor,5ht1b_human,51,67
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),5-HT<sub>1D</sub>,5-HT<sub>1D</sub> receptor,5ht1d_human,49,67
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),5-HT<sub>1E</sub>,5-HT<sub>1E</sub> receptor,5ht1e_human,46,65
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),5-HT<sub>1F</sub>,5-HT<sub>1F</sub> receptor,5ht1f_human,47,65
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),5-HT<sub>2A</sub>,5-HT<sub>2A</sub> receptor,5ht2a_human,31,53
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),5-HT<sub>2B</sub>,5-HT<sub>2B</sub> receptor,5ht2b_human,33,52
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),5-HT<sub>2C</sub>,5-HT<sub>2C</sub> receptor,5ht2c_human,31,52
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),5-HT<sub>4</sub>,5-HT<sub>4</sub> receptor,5ht4r_human,41,54
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),5-HT<sub>5A</sub>,5-HT<sub>5A</sub> receptor,5ht5a_human,37,60
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),5-HT<sub>6</sub>,5-HT<sub>6</sub> receptor,5ht6r_human,32,51
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),5-HT<sub>7</sub>,5-HT<sub>7</sub> receptor,5ht7r_human,39,59
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),M<sub>1</sub>,M<sub>1</sub> receptor,acm1_human,34,52
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),M<sub>2</sub>,M<sub>2</sub> receptor,acm2_human,35,55
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),M<sub>3</sub>,M<sub>3</sub> receptor,acm3_human,34,55
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),M<sub>4</sub>,M<sub>4</sub> receptor,acm4_human,33,53
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),M<sub>5</sub>,M<sub>5</sub> receptor,acm5_human,33,54
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),&alpha;<sub>1A</sub>,&alpha;<sub>1A</sub>-adrenoceptor,ada1a_human,38,62
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),&alpha;<sub>1B</sub>,&alpha;<sub>1B</sub>-adrenoceptor,ada1b_human,39,60
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),&alpha;<sub>1D</sub>,&alpha;<sub>1D</sub>-adrenoceptor,ada1d_human,38,59
A (Rhodopsin),5-HT<sub>1A</sub>,5-HT<sub>1A</sub> receptor,5ht1a_human,A (Rhodopsin),&alpha;<sub>2A</sub>,&alpha;<sub>2A</sub>-adrenoceptor,ada2a_human,39,57
