receptor	isoform_id	number_of_transcripts	transcripts	topological_annotation	number_of_tissues	tissues	varying_segments	functional_annotation	reference (PMID)	ProteomicsDBID	ProteomicsDBlink
5HT1A	1	1	ENST00000506598	truncated	2	Brain, Heart	TM1, ICL1, TM2, ECL1, TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
5HT2A	1	1	ENST00000543956	truncated	1	Testis	N-term, TM1, ICL1, TM2	0	0	0	0
5HT2C	1	1	ENST00000371950	truncated	3	Brain, Pituitary, Vagina	TM3, ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	Intracellular retention of reference isoform	23247076	0	0
5HT4R	1	1	ENST00000360693	preserved	2	Small Intestine, Colon	C-term	Altered signalling properties / Altered internalisation	0	Q13639-8	https://www.proteomicsdb.org/proteomicsdb/#protein/proteinDetails/Q13639-8/summary
5HT4R	2	1	ENST00000520514	preserved	3	Pituitary, Small Intestine, Colon	C-term	Altered signalling properties / Altered internalisation	0	0	0
5HT4R	3	1	ENST00000314512	preserved	2	Blood Vessel, Heart	C-term	Altered signalling properties / Altered internalisation	0	0	0
5HT7R	1	1	ENST00000371721	preserved	6	Muscle, Testis, Skin, Esophagus, Blood Vessel, Bladder	C-term	Altered signalling properties / Altered internalisation	0	0	0
5HT7R	2	1	ENST00000277874	preserved	15	Breast, Muscle, Testis, Prostate, Skin, Nerve, Small Intestine, Adipose Tissue, Thyroid, Colon, Esophagus, Blood Vessel, Stomach, Vagina, Bladder	C-term	Altered internalisation	15716386	0	0
5HT7R	3	1	ENST00000371719	preserved	15	Breast, Muscle, Testis, Brain, Skin, Nerve, Small Intestine, Adipose Tissue, Colon, Lung, Esophagus, Blood Vessel, Stomach, Vagina, Bladder	C-term	Altered internalisation	15716386	0	0
AA1R	1	1	ENST00000367235	truncated	22	Breast, Muscle, Testis, Brain, Prostate, Pituitary, Skin, Nerve, Small Intestine, Adipose Tissue, Thyroid, Colon, Lung, Salivary Gland, Pancreas, Esophagus, Blood Vessel, Stomach, Uterus, Heart, Spleen, Kidney	ICL2, TM4, ECL2, TM5, ICL3, TM6, ECL3, TM7, H8, C-term	0	0	0	0
