GPCRdb_accession	receptor	GPCRdb_family	GPCRdb_ligand_type	GPCRdb_class	isoforms_per_receptor	mean_isoforms_per_class_ligand_type_family	mean_isoforms_per_class_ligand_type	mean_isoforms_per_class
1	P08908	5HT1A	5-Hydroxytryptamine receptors	Aminergic receptors	Class A (Rhodopsin)	2	1.81818181818182	1.75	1.69868995633188
2	P28222	5HT1B	5-Hydroxytryptamine receptors	Aminergic receptors	Class A (Rhodopsin)	1	1.81818181818182	1.75	1.69868995633188
3	P28566	5HT1E	5-Hydroxytryptamine receptors	Aminergic receptors	Class A (Rhodopsin)	1	1.81818181818182	1.75	1.69868995633188
4	P30939	5HT1F	5-Hydroxytryptamine receptors	Aminergic receptors	Class A (Rhodopsin)	1	1.81818181818182	1.75	1.69868995633188
5	P28223	5HT2A	5-Hydroxytryptamine receptors	Aminergic receptors	Class A (Rhodopsin)	2	1.81818181818182	1.75	1.69868995633188
6	P41595	5HT2B	5-Hydroxytryptamine receptors	Aminergic receptors	Class A (Rhodopsin)	1	1.81818181818182	1.75	1.69868995633188
7	P28335	5HT2C	5-Hydroxytryptamine receptors	Aminergic receptors	Class A (Rhodopsin)	2	1.81818181818182	1.75	1.69868995633188
8	Q13639	5HT4R	5-Hydroxytryptamine receptors	Aminergic receptors	Class A (Rhodopsin)	4	1.81818181818182	1.75	1.69868995633188
9	P47898	5HT5A	5-Hydroxytryptamine receptors	Aminergic receptors	Class A (Rhodopsin)	1	1.81818181818182	1.75	1.69868995633188
10	P50406	5HT6R	5-Hydroxytryptamine receptors	Aminergic receptors	Class A (Rhodopsin)	1	1.81818181818182	1.75	1.69868995633188
11	P34969	5HT7R	5-Hydroxytryptamine receptors	Aminergic receptors	Class A (Rhodopsin)	4	1.81818181818182	1.75	1.69868995633188
12	P30542	AA1R	Adenosine receptors	Nucleotide receptors	Class A (Rhodopsin)	2	3.33333333333333	2	1.69868995633188
13	P29274	AA2AR	Adenosine receptors	Nucleotide receptors	Class A (Rhodopsin)	7	3.33333333333333	2	1.69868995633188
14	P29275	AA2BR	Adenosine receptors	Nucleotide receptors	Class A (Rhodopsin)	1	3.33333333333333	2	1.69868995633188
15	Q16570	ACKR1	Chemokine receptors	Protein receptors	Class A (Rhodopsin)	3	2.25	2.24	1.69868995633188
16	O00590	ACKR2	Chemokine receptors	Protein receptors	Class A (Rhodopsin)	5	2.25	2.24	1.69868995633188
17	P25106	ACKR3	Chemokine receptors	Protein receptors	Class A (Rhodopsin)	2	2.25	2.24	1.69868995633188
18	Q9NPB9	ACKR4	Chemokine receptors	Protein receptors	Class A (Rhodopsin)	1	2.25	2.24	1.69868995633188
19	P11229	ACM1	Acetylcholine receptors (muscarinic)	Aminergic receptors	Class A (Rhodopsin)	2	1.5	1.75	1.69868995633188
20	P20309	ACM3	Acetylcholine receptors (muscarinic)	Aminergic receptors	Class A (Rhodopsin)	2	1.5	1.75	1.69868995633188
21	P08173	ACM4	Acetylcholine receptors (muscarinic)	Aminergic receptors	Class A (Rhodopsin)	1	1.5	1.75	1.69868995633188
22	P08912	ACM5	Acetylcholine receptors (muscarinic)	Aminergic receptors	Class A (Rhodopsin)	1	1.5	1.75	1.69868995633188
23	Q01718	ACTHR	Melanocortin receptors	Peptide receptors	Class A (Rhodopsin)	2	1.75	1.61290322580645	1.69868995633188
24	P35348	ADA1A	Adrenoceptors	Aminergic receptors	Class A (Rhodopsin)	7	1.77777777777778	1.75	1.69868995633188
25	P35368	ADA1B	Adrenoceptors	Aminergic receptors	Class A (Rhodopsin)	1	1.77777777777778	1.75	1.69868995633188
26	P25100	ADA1D	Adrenoceptors	Aminergic receptors	Class A (Rhodopsin)	1	1.77777777777778	1.75	1.69868995633188
27	P08913	ADA2A	Adrenoceptors	Aminergic receptors	Class A (Rhodopsin)	1	1.77777777777778	1.75	1.69868995633188
